Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records
444,PTFSM6CLA1ABASICS_94,% of disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
445,PTNOTFSM6CLA1ABASICS_94,% of non-disadvantaged pupils achieving standard 9-4 passes in GCSE English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
446,TBASICSLO_94,Number of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
447,PTBASICSLO_94,% of pupils in low prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
448,TBASICSAV_94,Number of pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
449,PTBASICSAV_94,% pupils in middle prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
450,TBASICSHI_94,Number of pupils in high prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
451,PTBASICSHI_94,% pupils in high prior attainment band who achieved standard 9-4 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
452,PBL2BASICS_94,% of boys achieving standard 9-4 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
453,PGL2BASICS_94,% of girls achieving standard 9-4 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
454,PTL2BASICSEAL_94,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs and for whom English is an additional language,Yes - see 2017 methodology sheet for methodology change,,,Yes,
455,PTL2BASICSNMOB_94,% of non-mobile pupils achieving standard 9-4 passes in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,
456,PTFSM6CLA1ABASICS_95,% of disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
457,PTNOTFSM6CLA1ABASICS_95,% of non-disadvantaged pupils achieving strong 9-5 passes in GCSE English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
458,TBASICSLO_95,Number of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
459,PTBASICSLO_95,% of pupils in low prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
460,TBASICSAV_95,Number of pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
461,PTBASICSAV_95,% pupils in middle prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
462,TBASICSHI_95,Number of pupils in high prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
463,PTBASICSHI_95,% pupils in high prior attainment band who achieved strong 9-5 passes in English and maths,Yes - see 2017 methodology sheet for methodology change,,,Yes,
464,PBL2BASICS_95,% of boys achieving strong 9-5 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
465,PGL2BASICS_95,% of girls achieving strong 9-5 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
466,PTL2BASICSEAL_95,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs and for whom English is an additional language,Yes - see 2017 methodology sheet for methodology change,,,Yes,
467,PTL2BASICSNMOB_95,% of non-mobile pupils achieving strong 9-5 passes in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,
468,PTFSM6CLA1ABASICS_94_17,% of disadvantaged pupils achieving 9-4 in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,Yes,
469,PTFSM6CLA1ABASICS_95_17,% of disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
470,PTNOTFSMBASICS_94_17,% of non-disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
471,PTNOTFSM6CLA1ABASICS_95_17,% of non-disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
472,PTFSM6CLA1ABASICS_94_18,% of disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,,,
473,PTFSM6CLA1ABASICS_95_18,% of disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,,,
474,PTNOTFSM6CLA1ABASICS_94_18,% of non-disadvantaged pupils achieving 9-4 passes in GCSE English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,,,
475,PTNOTFSM6CLA1ABASICS_95_18,% of non-disadvantaged pupils achieving 9-5 passes in GCSE English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,,,
476,PTmultiLan_E,Percentage of pupils entering more than one language,,Yes,Yes,Yes,Yes
477,PTtripleSci_E,"Percentage of pupils entering biology, chemistry and physics",,Yes,Yes,Yes,Yes
478,TFSM6CLA1A_17,Number of disadvantaged pupils at the end of key stage 4 in 2017,,,,Yes,
479,PTFSM6CLA1A_17,Percentage of pupils at the end of key stage 4 who were disadvantaged in 2017,,,,Yes,
480,TNOTFSM6CLA1A_17,Number of non-disadvantaged pupils at the end of key stage 4 in 2017,,,,Yes,
481,PTNOTFSM6CLA1A_17,Percentage of pupils at the end of key stage 4 who were not disadvantaged in 2017,,,,Yes,
482,TFSM6CLA1A_18,Number of disadvantaged pupils in 2018,,,,Yes,
483,PTFSM6CLA1A_18,% of pupils who were disadvantaged in 2018,,,,Yes,
484,TNOTFSM6CLA1A_18,Number of non-disadvantaged pupils in 2018,,,,Yes,
485,PTNOTFSM6CLA1A_18,% of pupils who were not disadvantaged in 2018,,,,Yes,
486,TAVENT_E_3NG_PTQ_EE,Average number of KS4 entries per pupil,,,,,
487,TAVENT_E_3NG_LO_PTQ_EE,Average number of KS4 entries per pupil with low prior attainment,,,,Yes,
488,TAVENT_E_3NG_AV_PTQ_EE,Average number of KS4 entries per pupil with middle prior attainment,,,,Yes,
489,TAVENT_E_3NG_HI_PTQ_EE,Average number of KS4 entries per pupil with high prior attainment,,,,Yes,
490,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,Average number of KS4 entries per disadvantaged pupil,,,,Yes,
491,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE,Average number of KS4 entries per non-disadvantaged pupil,,,,Yes,
492,TAVENT_EFSM6CLA1A_17_PTQ_EE,Average number of KS4 entries per disadvantaged pupil in 2017,,,,Yes,
493,TAVENT_ENFSM6CLA1A_17_PTQ_EE,Average number of KS4 entries per non-disadvantaged pupil in 2017,,,,Yes,
494,TAVENT_EFSM6CLA1A_18_PTQ_EE,Average number of KS4 entries per disadvantaged pupil in 2018,,,,Yes,
495,TAVENT_ENFSM6CLA1A_18_PTQ_EE,Average number of KS4 entries per non-disadvantaged pupil in 2018,,,,Yes,
496,TAVENT_G_PTQ_EE,Average number of GCSE entries per pupil,,,,,
497,TAVENT_GLO_PTQ_EE,Average number of GCSE entries per pupil with low prior attainment,,,,Yes,
498,TAVENT_GAV_PTQ_EE,Average number of GCSE entries per pupil with middle prior attainment,,,,Yes,
499,TAVENT_GHI_PTQ_EE,Average number of GCSE entries per pupil with high prior attainment,,,,Yes,
500,TAVENT_GFSM6CLA1A_PTQ_EE,Average number of GCSE entries per disadvantaged pupil,,,,Yes,
501,TAVENT_GNFSM6CLA1A_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil,,,,Yes,
502,TAVENT_GFSM6CLA1A_17_PTQ_EE,Average number of GCSE entries per disadvantaged pupil in 2017,,,,Yes,
503,TAVENT_GNFSM6CLA1A_17_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil in 2017,,,,Yes,
504,TAVENT_GFSM6CLA1A_18_PTQ_EE,Average number of GCSE entries per disadvantaged pupil in 2018,,,,Yes,
505,TAVENT_GNFSM6CLA1A_18_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil in 2018,,,,Yes,
506,P8_BANDING,Progress 8 banding shown on school performance tables website,,,,Yes,Yes
